province,thai_name,i1998,i2000,i2002,i2004,i2006,i2007,i2009,i2011,i2013,i2015,d1998,d2000,d2002,d2004,d2006,d2007,d2009,d2011,d2013,d2015
Whole Kingdom,ทั่วราชอาณาจักร,12492,12150,13736,14963,17787,18660,20904,23236,25194,26915,69674,68405,82485,104571,116585,116681,134699,134900,163087,156770
Greater Bangkok,ตอนพิเศษ,24929,25242,28239,28135,33088,35007,37732,41631,43058,41002,131740,126527,157730,155622,155212,151168,199608,202157,273795,171837
Bangkok,กรุงเทพมหานคร,26054,26909,29589,29843,36658,39020,42380,48951,49191,45572,138247,135137,162199,160776,158059,155396,207665,218741,275577,164706
Samut Prakan,สมุทรปราการ,18100,15745,19680,19946,20382,21302,23359,23798,29575,25457,40632,67390,84345,78750,95975,85904,117361,115169,207741,87647
Nonthaburi,นนทบุรี,24211,24566,29119,26658,31152,32743,34626,35120,30664,36884,112337,102994,145908,203040,179007,196895,240769,258853,260752,277606
Pathum Thani,ปทุมธานี,21793,19282,22838,21530,25143,26107,26686,21616,33461,41057,217932,139691,232245,145015,193153,152187,220761,145293,386957,221748
Central Region,ภาคกลาง,12643,13012,14128,16355,19279,18932,20960,20822,26114,26601,64046,69579,76278,115184,113475,112342,131902,109168,145588,142056
Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,12918,14904,13319,14980,19676,21676,25820,22302,26482,28379,56147,23636,26107,49446,53222,54762,163425,81609,106260,216816
Ang Thong,อ่างทอง,10878,12544,11653,12855,18300,17704,25506,21140,28641,23351,39831,81035,29021,43598,118556,105430,309494,133918,212498,132829
Lop Buri,ลพบุรี,10587,10649,11010,15003,19935,16852,22405,17178,23426,22955,45759,47821,57245,141603,162620,140722,176483,87009,97449,92474
Sing Buri,สิงห์บุรี,10786,11894,14434,14788,18510,20558,25419,26068,28115,26112,44384,49751,82645,100573,88518,76219,55605,133378,151450,168239
Chai Nat,ชัยนาท,11159,12693,11119,13383,13058,13995,18719,20181,32754,22059,55851,61866,63025,93763,98121,180175,146132,175957,264144,273336
Saraburi,สระบุรี,13281,12319,14677,18742,20468,22363,21947,27114,32834,29413,59112,61918,74101,99883,111111,120194,148743,142504,248741,197696
